source,i,filename
mdm,2,Praesepe/MODspec/Dec2010_n2/PTF083736.2.fits
mdm,3,Praesepe/MODspec/Dec2010_n3/KW265.fits
mdm,7,Praesepe/MODspec/Dec2010_n2/KW40-West.fits
mdm,9,Praesepe/MODspec/Dec2010_n2/KW323.fits
mdm,16,Praesepe/MODspec/Dec2010_n2/KW212.35.fits
mdm,17,Praesepe/MODspec/Dec2010_n2/KW224.fits
mdm,18,Praesepe/MODspec/Dec2010_n3/KW229.fits
mdm,19,Praesepe/MODspec/Dec2010_n2/KW276.85.fits
mdm,22,Praesepe/MODspec/Dec2010_n2/KW292.fits
mdm,24,Praesepe/MODspec/Dec2010_n3/KW328.fits
mdm,26,Praesepe/MODspec/Dec2010_n2/KW428.fits
mdm,44,Praesepe/MODspec/Dec2010_n2/KW222.fits
mdm,45,Praesepe/MODspec/Feb2011_n1_v2/KW238.fits
mdm,48,Praesepe/MODspec/Dec2010_n2/KW282.fits
mdm,49,Praesepe/MODspec/Dec2010_n2/KW275.fits
mdm,51,Praesepe/MODspec/Feb2011_n1_v2/KW155.fits
mdm,53,Praesepe/MODspec/Dec2010_n2/KW100.fits
mdm,57,Praesepe/MODspec/Dec2010_n2/KW370.fits
mdm,58,Praesepe/MODspec/Dec2010_n2/KW293.fits
mdm,59,Praesepe/MODspec/Feb2011_n3/SW083930.44.fits
mdm,62,Praesepe/MODspec/Dec2010_n5/KW416.fits
mdm,75,Praesepe/MODspec/Dec2010_n5/KW288.fits
mdm,83,Praesepe/MODspec/Feb2011_n3/SW083945.78.fits
mdm,90,Praesepe/MODspec/Dec2010_n2/KW334.fits
mdm,91,Praesepe/MODspec/Dec2010_n2/KW495.fits
mdm,102,Praesepe/MODspec/Dec2010_n2/KW34.fits
mdm,105,Praesepe/MODspec/Dec2010_n2/KW142.fits
mdm,107,Praesepe/MODspec/Feb2011_n3/SW083722.23.fits
mdm,108,Praesepe/MODspec/Dec2010_n2/KW181.fits
mdm,112,Praesepe/MODspec/Dec2010_n2/KW217.fits
mdm,114,Praesepe/MODspec/Feb2011_n3/SW083711.48.fits
mdm,115,Praesepe/MODspec/Feb2011_n4/HSHJ303.fits
mdm,118,Praesepe/MODspec/Dec2010_n2/KW458.fits
mdm,125,Praesepe/MODspec/Dec2010_n3/KW322.78.fits
mdm,127,Praesepe/MODspec/Feb2011_n4/JS706.fits
mdm,128,Praesepe/MODspec/Feb2011_n4/JS313.fits
mdm,131,Praesepe/MODspec/Feb2011_n3/SW083935.53.fits
mdm,135,Praesepe/MODspec/Dec2010_n4/JS_237.fits
mdm,142,Praesepe/MODspec/Dec2010_n4/KW_570.fits
mdm,144,Praesepe/MODspec/Feb_2012_specs/new_Feb_18_finals/KW27.fits
mdm,145,Praesepe/MODspec/Dec2010_n4/AD_2552.fits
mdm,151,Praesepe/MODspec/Feb2011_n3/SW083921.54.fits
mdm,152,Praesepe/MODspec/Dec2010_n3/KW47.fits
mdm,161,Praesepe/MODspec/Feb_2012_specs/new_Feb_18_finals/KW539.fits
mdm,164,Praesepe/MODspec/Dec2010_n2/KW16.fits
mdm,167,Praesepe/MODspec/Dec2010_n2/KW434.fits
mdm,173,Praesepe/MODspec/Dec2010_n4/JS_283.fits
mdm,176,Praesepe/MODspec/Dec2010_n4/JS_468.fits
mdm,181,Praesepe/MODspec/Dec2010_n3/JS379.fits
mdm,183,Praesepe/MODspec/Feb2011_n4/JS178.fits
mdm,190,Praesepe/MODspec/Dec2010_n4/KW_184.fits
mdm,200,Praesepe/MODspec/Feb2011_n4/KW563.fits
mdm,201,Praesepe/MODspec/Dec2010_n5/KW257.fits
mdm,210,Praesepe/MODspec/Dec2010_n4/JS_365.fits
mdm,212,Praesepe/MODspec/Dec2010_n2/KW244.fits
mdm,213,Praesepe/MODspec/Feb2011_n3/SW084047.61.fits
